MachineId	AssetId	CustomerId	CustomerName	LocationId	LocationName	MachinePlace	MachineType	OfflineMachineType	RestockDateTime	IsOutOfTouch	NeedsInventory	
=999947	=AHOU1015C	=1152	=Texas Ironworkers Apprenticeship Program	=1156	=Texas Ironworkers Apprenticeship Program	=Warehouse	=Bev (Royal GIII)	[NULL]	=11/04/2013 13:00:18	=True	=False	
=999948	=AHOU1103	=1153	=Entrance Software	=1158	=Entrance Software	=Fishbowl	=Bev (DN 600E)	[NULL]	=11/08/2013 10:21:40	=True	=False	
=999948	=AHOU1103	=1153	=Entrance Software	=1158	=Entrance Software	=Fishbowl	=Bev (DN 600E)	[NULL]	=11/13/2013 10:28:04	=True	=False	
=999948	=AHOU1103	=1153	=Entrance Software	=1158	=Entrance Software	=Fishbowl	=Bev (DN 600E)	[NULL]	=11/18/2013 11:20:13	=True	=False	
=999948	=AHOU1103	=1153	=Entrance Software	=1158	=Entrance Software	=Fishbowl	=Bev (DN 600E)	[NULL]	=11/20/2013 09:56:13	=True	=False	
=999948	=AHOU1103	=1153	=Entrance Software	=1158	=Entrance Software	=Fishbowl	=Bev (DN 600E)	[NULL]	=11/25/2013 10:37:45	=True	=False	
=999948	=AHOU1103	=1153	=Entrance Software	=1158	=Entrance Software	=Fishbowl	=Bev (DN 600E)	[NULL]	=12/03/2013 09:20:42	=True	=False	
=999948	=AHOU1103	=1153	=Entrance Software	=1158	=Entrance Software	=Fishbowl	=Bev (DN 600E)	[NULL]	=12/05/2013 13:37:28	=True	=False	
=999948	=AHOU1103	=1153	=Entrance Software	=1158	=Entrance Software	=Fishbowl	=Bev (DN 600E)	[NULL]	=12/10/2013 11:33:31	=True	=False	
=999948	=AHOU1103	=1153	=Entrance Software	=1158	=Entrance Software	=Fishbowl	=Bev (DN 600E)	[NULL]	=12/12/2013 10:03:14	=True	=False	
=999948	=AHOU1103	=1153	=Entrance Software	=1158	=Entrance Software	=Fishbowl	=Bev (DN 600E)	[NULL]	=12/17/2013 11:44:26	=True	=False	
=999954	=AHOU1101	=1150	=Nexen Energy	=1154	=Nexen Energy	=17th Floor Break Room	=Bev (DN 600E)	[NULL]	=12/10/2013 09:22:05	=True	=False	
=999955	=AHOU1100	=1141	=Maersk Drilling	=1144	=Maersk Drilling	=Break Room by Reception	=Bev (DN 600E)	[NULL]	=11/06/2013 06:03:51	=True	=False	
=999955	=AHOU1100	=1141	=Maersk Drilling	=1144	=Maersk Drilling	=Break Room by Reception	=Bev (DN 600E)	[NULL]	=11/08/2013 12:08:52	=True	=False	
=999955	=AHOU1100	=1141	=Maersk Drilling	=1144	=Maersk Drilling	=Break Room by Reception	=Bev (DN 600E)	[NULL]	=11/11/2013 05:50:18	=True	=False	
=999955	=AHOU1100	=1141	=Maersk Drilling	=1144	=Maersk Drilling	=Break Room by Reception	=Bev (DN 600E)	[NULL]	=11/13/2013 05:59:02	=True	=False	
=999955	=AHOU1100	=1141	=Maersk Drilling	=1144	=Maersk Drilling	=Break Room by Reception	=Bev (DN 600E)	[NULL]	=11/15/2013 05:44:38	=True	=False	
=999955	=AHOU1100	=1141	=Maersk Drilling	=1144	=Maersk Drilling	=Break Room by Reception	=Bev (DN 600E)	[NULL]	=11/21/2013 08:04:08	=True	=False	
=999955	=AHOU1100	=1141	=Maersk Drilling	=1144	=Maersk Drilling	=Break Room by Reception	=Bev (DN 600E)	[NULL]	=11/26/2013 05:49:10	=True	=False	
=999955	=AHOU1100	=1141	=Maersk Drilling	=1144	=Maersk Drilling	=Break Room by Reception	=Bev (DN 600E)	[NULL]	=12/03/2013 05:51:52	=True	=False	
=999955	=AHOU1100	=1141	=Maersk Drilling	=1144	=Maersk Drilling	=Break Room by Reception	=Bev (DN 600E)	[NULL]	=12/06/2013 06:00:55	=True	=False	
=999955	=AHOU1100	=1141	=Maersk Drilling	=1144	=Maersk Drilling	=Break Room by Reception	=Bev (DN 600E)	[NULL]	=12/10/2013 08:35:31	=True	=False	
=999955	=AHOU1100	=1141	=Maersk Drilling	=1144	=Maersk Drilling	=Break Room by Reception	=Bev (DN 600E)	[NULL]	=12/13/2013 12:21:45	=True	=False	
=999955	=AHOU1100	=1141	=Maersk Drilling	=1144	=Maersk Drilling	=Break Room by Reception	=Bev (DN 600E)	[NULL]	=12/18/2013 06:05:37	=True	=False	
=999955	=AHOU1100	=1141	=Maersk Drilling	=1144	=Maersk Drilling	=Break Room by Reception	=Bev (DN 600E)	[NULL]	=12/30/2013 07:23:03	=True	=False	
=999956	=AHOU1011C	=1149	=WidgetCo	=1153	=WidgetCo	=Warehouse	=Bev (Royal GIII)	[NULL]	=11/01/2013 10:32:36	=True	=False	
=999971	=AHOU1097	=1121	=Nexen USA	=1125	=Nexen USA	=7th Floor	=Dixie Narco 600E	[NULL]	=11/07/2013 06:35:02	=True	=False	
=999971	=AHOU1097	=1121	=Nexen USA	=1125	=Nexen USA	=7th Floor	=Dixie Narco 600E	[NULL]	=11/13/2013 11:10:55	=True	=False	
=999971	=AHOU1097	=1121	=Nexen USA	=1125	=Nexen USA	=7th Floor	=Dixie Narco 600E	[NULL]	=11/20/2013 06:08:51	=True	=False	
=999971	=AHOU1097	=1121	=Nexen USA	=1125	=Nexen USA	=7th Floor	=Dixie Narco 600E	[NULL]	=11/27/2013 06:05:47	=True	=False	
