Id	DeliveryOrderId	PackId	Quantity	OriginalPriceInCents	PriceInCents	
=4	=1001	=1209	=5	=984	=984	
=5	=1001	=1211	=3	=504	=504	
=6	=1001	=1127	=4	=912	=912	
=7	=1002	=872	=3	=1118	=1118	
=8	=1002	=625	=4	=113	=113	
=9	=1002	=1246	=1	=1476	=1476	
=10	=1002	=939	=3	=1008	=1008	
=53	=1003	=1127	=-200	=922	=922	
=54	=1003	=1209	=4	=976	=976	
=55	=1003	=1246	=3	=1478	=1478	
=56	=1003	=24	=3	=32	=32	
=57	=1003	=858	=2	=1200	=1200	
=58	=1003	=363	=5	=33	=33	
=59	=1003	=1324	=2	=1500	=1500	
=60	=1003	=1074	=3	=2860	=2860	
=61	=1003	=265	=7	=30	=30	
=62	=1003	=1300	=2	=770	=770	
=63	=1003	=1102	=3	=660	=660	
=64	=1003	=698	=7	=110	=110	
=65	=1003	=1305	=2	=6900	=6900	
=66	=1003	=1441	=3	=4320	=4320	
